anime_id,AFeature0,AFeature1,AFeature2,AFeature3,AFeature4,AFeature5,AFeature6,AFeature7,AFeature8,AFeature9,AFeature10,AFeature11,AFeature12,AFeature13,AFeature14,AFeature15,AFeature16,AFeature17,AFeature18,AFeature19,AFeature20,AFeature21,AFeature22,AFeature23,AFeature24,AFeature25,AFeature26,AFeature27,AFeature28,AFeature29,AFeature30,AFeature31
80,0.0057926774,-0.08461952,0.052300643,-0.00093607133,0.058909133,-0.038194947,-0.035701703,0.0781755,-0.10004918,0.007494927,-0.061575416,0.041147064,0.0015588328,-0.016201494,0.008184047,-0.0031300464,-0.080103114,0.09159698,-0.023921343,0.039337058,0.06490596,-0.016645843,-0.00057875406,0.10208043,0.105273284,-0.056002665,-0.042496696,0.0060184523,0.0023222931,-0.022306686,0.09575101,-0.030727249
120,-0.11028445,-0.008796283,-0.00064867275,0.0035972027,-0.032904472,-0.0109258,0.06311801,-0.10250017,0.04376506,-0.0027351496,0.061036173,-0.07398199,0.06850832,-0.05259984,-0.0030394057,-0.043706633,-0.004335885,0.06560716,0.035761356,-0.003166229,-0.01264629,-0.03891234,-0.052877832,-0.037436962,0.08411979,0.015068111,-0.027588442,-0.03673322,0.025842514,0.011231283,0.05699572,0.0007765761
121,-0.045047786,-0.0038371314,-0.0021507775,0.0079931095,0.0055728345,-0.05377196,0.030020744,0.066117264,-0.01193241,-0.040641516,0.027711112,-0.08050327,-0.017026478,0.025638249,0.041447155,0.005385628,0.009488666,-0.018758185,-0.010829596,0.06115742,0.040375397,0.011692996,0.012905084,-0.05028943,0.004977362,-0.018825468,0.015913175,0.005070288,-0.010827028,0.053310484,0.0042094775,-0.009381983
125,-0.014923547,-0.07469898,-0.04005247,-0.016262034,-0.0009818973,0.01864533,0.018330242,0.016755955,0.030221455,-0.020464875,-0.011395841,0.0068610455,0.036357988,-0.0019601155,-0.0028997746,0.0018874035,6.0523907e-06,0.0081535615,0.025221167,0.028452776,-0.026284121,-0.03381406,-5.9404865e-05,-0.04817295,-0.02712524,-0.009810889,0.05098859,0.098272696,-0.01575787,0.008120572,-0.03616371,-0.05809843
126,0.057541456,0.016070664,0.03492016,-0.031517804,0.0061917915,-0.012441267,-0.00216693,0.01932162,0.0008023658,0.0033034692,0.049556803,-0.01599605,0.020466682,0.0021131695,-0.029260494,-0.005962822,-0.034763623,-0.001616129,-0.046575285,-0.046444256,-0.10006156,-0.08376016,-0.01548197,0.018560512,-0.08116358,-0.06158469,-0.0019765927,-0.027329376,0.05320088,0.07463289,0.0076932996,-0.046931997
127,0.04514384,-0.02577462,0.040419932,-0.02319699,0.007048469,0.01700332,0.009177412,0.014244518,0.015401825,-0.0020568634,0.013475221,0.011183524,-0.012847383,-0.009776862,0.009395057,0.0034522864,0.023481863,-0.015335781,-0.03818811,-0.00069208106,-0.019539624,-0.058134586,-0.011656084,-0.0037930273,0.056300435,-0.0030539643,0.007219311,-0.075948425,0.010570886,0.024775213,-0.008187741,-0.040094692
142,-0.046865012,0.003758758,0.09184442,0.024088793,0.012087689,-0.006530504,0.028380895,0.085750215,-0.040915232,0.0033410375,0.033531886,0.020612406,-0.011616091,0.033794962,0.011387723,-0.04091041,-0.03926254,0.0070819827,-0.031515293,-0.03113736,-0.092581876,0.06093367,-0.006473107,0.042478047,-0.029689552,-0.012216768,0.07561286,0.05635409,0.030005474,-0.024471808,-0.026459534,0.05760939
148,-0.02828074,-0.022837892,0.028564457,-0.0034784295,-0.010456518,-0.013500356,0.055666238,-0.035039946,-0.022895033,-0.0053964183,0.054281462,-0.015614546,0.04119289,-0.036824342,-0.054117322,-0.04953738,0.0022979493,0.0126734935,0.07192407,-0.03294695,-0.00088581664,-0.023756318,-0.0014020924,0.02080396,0.0011982258,0.026124967,-0.034989394,-0.010506762,0.03038538,0.009071852,0.027872527,0.012303542
164,0.017635975,0.02658036,0.031501736,-0.033724967,0.06858802,-0.05431902,-0.036364287,0.041858867,0.024027305,-0.011926939,0.03107059,0.021235798,-0.027777396,-0.023904122,-0.03287356,0.033268794,0.025366021,-0.0016947902,0.003266705,0.042958267,0.012469101,0.017233238,-0.029661452,-0.0032628824,-0.015512393,-0.009437306,0.007409625,-0.0134178735,-0.010637941,-0.00014907899,0.007822422,-0.00090592814
167,-0.015928807,-0.004842864,-0.012057135,-0.028067421,-0.007986737,-0.046013847,-0.087961644,0.014343093,-0.02051737,-0.040543664,-0.0035270527,-0.07146324,-0.053917516,-0.004269405,-0.0002494811,0.014394346,-0.017233593,-0.0010726209,0.01412119,0.01482198,-0.024312647,0.04637735,-0.02047304,-0.014244825,0.04363157,0.036394812,-0.07225828,-0.08407247,-0.004262933,-0.0009017816,0.0835314,0.0017416702
